Project Name,Package Name,Type Name,Method Name,Code Smell
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Complex Method
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.model.jpa,UserBook,hashCode,Magic Number
books-core,com.sismics.books.core.model.jpa,UserBook,equals,Complex Method
books-core,com.sismics.books.core.model.jpa,UserBookTag,hashCode,Magic Number
books-core,com.sismics.books.core.model.jpa,UserBookTag,equals,Complex Method
